csvData,Tipo,Horario,Premio_1,Centena_1,Grupo_1,Bicho_1,Premio_2,Centena_2,Grupo_2,Bicho_2,Premio_3,Centena_3,Grupo_3,Bicho_3,Premio_4,Centena_4,Grupo_4,Bicho_4,Premio_5,Centena_5,Grupo_5,Bicho_5
2024-01-25,PTV,16:30,4348,348,12,Elefante,9757,757,15,Jacaré,2900,900,25,Vaca,5071,071,18,Porco,8785,785,22,Tigre
2024-01-25,PTN,,8738,738,10,Coelho,4458,458,15,Jacaré,7802,802,01,Avestruz,6402,402,01,Avestruz,4624,624,06,Cabra
2024-01-25,COR,21:30,4383,383,21,Touro,0485,485,22,Tigre,5470,470,18,Porco,7184,184,21,Touro,0742,742,11,Cavalo
2024-01-26,PPT,09:30,8916,916,04,Borboleta,4794,794,24,Veado,8477,477,20,Peru,6001,001,01,Avestruz,9759,759,15,Jacaré
2024-01-26,PTM,11:30,2045,045,12,Elefante,5057,057,15,Jacaré,6833,833,09,Cobra,3821,821,06,Cabra,7754,754,14,Gato
2024-01-26,PT,14:30,8865,865,17,Macaco,8452,452,13,Galo,8444,444,11,Cavalo,9916,916,04,Borboleta,6319,319,05,Cachorro
2024-01-26,PTV,16:30,6919,919,05,Cachorro,0945,945,12,Elefante,2187,187,22,Tigre,0561,561,16,Leão,2811,811,03,Burro
2024-01-26,PTN,,8761,761,16,Leão,6170,170,18,Porco,8956,956,14,Gato,9945,945,12,Elefante,2876,876,19,Pavão
2024-01-26,COR,21:30,6078,078,20,Peru,9563,563,16,Leão,2662,662,16,Leão,4593,593,24,Veado,6771,771,18,Porco
2024-01-27,PPT,09:30,1821,821,06,Cabra,6345,345,12,Elefante,4233,233,09,Cobra,3656,656,14,Gato,3671,671,18,Porco
2024-01-27,PTM,11:30,4753,753,14,Gato,2061,061,16,Leão,0265,265,17,Macaco,0843,843,11,Cavalo,2625,625,07,Carneiro
2024-01-27,PT,14:30,1833,833,09,Cobra,2417,417,05,Cachorro,8305,305,02,Águia,4708,708,02,Águia,7663,663,16,Leão
2024-01-27,PTV,16:30,0352,352,13,Galo,3089,089,23,Urso,9795,795,24,Veado,7270,270,18,Porco,3913,913,04,Borboleta
2024-01-27,FED,,5561,561,16,Leão,9220,220,05,Cachorro,7273,273,19,Pavão,7749,749,13,Galo,1166,166,17,Macaco
2024-01-27,COR,21:30,4267,267,17,Macaco,0407,407,02,Águia,1934,934,09,Cobra,7444,444,11,Cavalo,8455,455,14,Gato
2024-01-28,PPT,09:30,4815,815,04,Borboleta,1837,837,10,Coelho,1778,778,20,Peru,0888,888,22,Tigre,2403,403,01,Avestruz
2024-01-28,PTM,11:30,6510,510,03,Burro,5108,108,02,Águia,9400,400,25,Vaca,3131,131,08,Camelo,2489,489,23,Urso
2024-01-28,PT,14:30,8448,448,12,Elefante,9725,725,07,Carneiro,8221,221,06,Cabra,0589,589,23,Urso,5310,310,03,Burro
2024-01-28,PTV,16:30,4444,444,11,Cavalo,4319,319,05,Cachorro,4658,658,15,Jacaré,7509,509,03,Burro,5725,725,07,Carneiro
2024-01-29,PPT,09:30,5079,079,20,Peru,4759,759,15,Jacaré,4755,755,14,Gato,1456,456,14,Gato,3635,635,09,Cobra
2024-01-29,PTM,11:30,6625,625,07,Carneiro,0005,005,02,Águia,1365,365,17,Macaco,2201,201,01,Avestruz,7134,134,09,Cobra
2024-01-29,PT,14:30,3937,937,10,Coelho,3136,136,09,Cobra,4901,901,01,Avestruz,1823,823,06,Cabra,4116,116,04,Borboleta
2024-01-29,PTV,16:30,6085,085,22,Tigre,1462,462,16,Leão,9654,654,14,Gato,8455,455,14,Gato,2570,570,18,Porco
2024-01-29,PTN,,8558,558,15,Jacaré,3743,743,11,Cavalo,2521,521,06,Cabra,7249,249,13,Galo,0615,615,04,Borboleta
2024-01-29,COR,21:30,8776,776,19,Pavão,3879,879,20,Peru,2046,046,12,Elefante,1709,709,03,Burro,7933,933,09,Cobra
2024-01-30,PPT,09:30,6049,049,13,Galo,8848,848,12,Elefante,7559,559,15,Jacaré,1476,476,19,Pavão,0667,667,17,Macaco
2024-01-30,PTM,11:30,9109,109,03,Burro,5924,924,06,Cabra,8612,612,03,Burro,5543,543,11,Cavalo,7878,878,20,Peru
2024-01-30,PT,14:30,9962,962,16,Leão,3512,512,03,Burro,2523,523,06,Cabra,2187,187,22,Tigre,6304,304,01,Avestruz
2024-01-30,PTV,16:30,9107,107,02,Águia,2349,349,13,Galo,2973,973,19,Pavão,5622,622,06,Cabra,4207,207,02,Águia
2024-01-30,PTN,,5404,404,01,Avestruz,0381,381,21,Touro,6764,764,16,Leão,5747,747,12,Elefante,1905,905,02,Águia
2024-01-30,COR,21:30,9306,306,02,Águia,9305,305,02,Águia,3667,667,17,Macaco,8137,137,10,Coelho,0732,732,08,Camelo
2024-01-31,PPT,09:30,3482,482,21,Touro,2865,865,17,Macaco,0669,669,18,Porco,7430,430,08,Camelo,9160,160,15,Jacaré
2024-01-31,PTM,11:30,6591,591,23,Urso,4300,300,25,Vaca,6086,086,22,Tigre,5733,733,09,Cobra,8646,646,12,Elefante
2024-01-31,PT,14:30,4559,559,15,Jacaré,3824,824,06,Cabra,4965,965,17,Macaco,9539,539,10,Coelho,1634,634,09,Cobra
2024-01-31,PTV,16:30,7747,747,12,Elefante,0114,114,04,Borboleta,9035,035,09,Cobra,5427,427,07,Carneiro,5872,872,18,Porco
2024-01-31,FED,,6997,997,25,Vaca,7026,026,07,Carneiro,2206,206,02,Águia,3068,068,17,Macaco,3713,713,04,Borboleta
2024-01-31,COR,21:30,3504,504,01,Avestruz,2265,265,17,Macaco,3791,791,23,Urso,8751,751,13,Galo,9468,468,17,Macaco
2024-02-01,PPT,09:30,6712,712,03,Burro,5345,345,12,Elefante,6277,277,20,Peru,7564,564,16,Leão,8963,963,16,Leão
2024-02-01,PTM,11:30,9089,089,23,Urso,9135,135,09,Cobra,7131,131,08,Camelo,9918,918,05,Cachorro,5642,642,11,Cavalo
2024-02-01,PT,14:30,9505,505,02,Águia,8929,929,08,Camelo,6953,953,14,Gato,0377,377,20,Peru,2816,816,04,Borboleta
2024-02-01,PTV,16:30,8934,934,09,Cobra,7629,629,08,Camelo,9528,528,07,Carneiro,6229,229,08,Camelo,8119,119,05,Cachorro
2024-02-01,PTN,,2077,077,20,Peru,0817,817,05,Cachorro,7919,919,05,Cachorro,4431,431,08,Camelo,0917,917,05,Cachorro
